image_name,PSNR,SSIM,LPIPS
artroom1_r,14.584478923148668,0.4912000000476837,0.2846977412700653
artroom2_r,15.060311914698827,0.5307950377464294,0.3326629400253296
bandsaw1_r,12.908877015019744,0.4957983195781708,0.25776416063308716
bandsaw2_r,13.27610475267085,0.6276013851165771,0.3104734420776367
chess1_r,12.92283973096147,0.3939105272293091,0.36335793137550354
chess2_r,15.357857587699648,0.5125533938407898,0.2892025411128998
chess3_r,13.529074514493292,0.4206450879573822,0.30491316318511963
curule1_r,14.505110138262795,0.4546908140182495,0.33724987506866455
curule2_r,14.525014729364965,0.4596433639526367,0.3443964719772339
curule3_r,15.451467331924821,0.4674868583679199,0.2580752968788147
ladder1_r,13.655273987440843,0.3514205515384674,0.26495906710624695
ladder2_r,13.577804975483305,0.3709609806537628,0.26574480533599854
octogons1_r,13.946114072119904,0.5214020609855652,0.20772938430309296
octogons2_r,16.41307268445225,0.6072885394096375,0.17053629457950592
pendulum1_r,12.894434094154906,0.46409904956817627,0.30247217416763306
pendulum2_r,16.405688072750067,0.5293207168579102,0.2641200125217438
podium1_r,12.730260561024698,0.6428961157798767,0.24875350296497345
skates1_r,7.947164331051171,0.3244441747665405,0.5068409442901611
skates2_r,10.507024103944287,0.41632917523384094,0.36145925521850586
skiboots1_r,12.308525850749064,0.33339929580688477,0.3463214933872223
skiboots2_r,10.722617753068215,0.3265329897403717,0.4096847176551819
skiboots3_r,10.255668855706846,0.285593181848526,0.43792447447776794
traproom1_r,10.930746890954273,0.4409657418727875,0.29729411005973816
traproom2_r,10.729026390607249,0.41642335057258606,0.29713886976242065
