image_name,PSNR,SSIM,LPIPS
artroom1_r,15.318916022500597,0.5316867828369141,0.24639800190925598
artroom2_r,15.467219449660899,0.5536152124404907,0.29884177446365356
bandsaw1_r,14.806850240917203,0.5951710343360901,0.18328063189983368
bandsaw2_r,13.86173756692629,0.6303914189338684,0.3109608292579651
chess1_r,12.954510191661054,0.4063223600387573,0.3599399924278259
chess2_r,15.550855821187675,0.5185262560844421,0.27935507893562317
chess3_r,13.902085754288223,0.44406309723854065,0.2875950336456299
curule1_r,15.030383274983992,0.4786548614501953,0.2925718426704407
curule2_r,14.914063004189854,0.4747906029224396,0.3203522562980652
curule3_r,15.843709847928286,0.47386637330055237,0.22658316791057587
ladder1_r,15.418896580365464,0.40301430225372314,0.21702660620212555
ladder2_r,14.789934976138001,0.37947559356689453,0.20847660303115845
octogons1_r,13.880807589966153,0.5134050250053406,0.22688765823841095
octogons2_r,16.533606007874596,0.61613529920578,0.15342386066913605
pendulum1_r,13.320955428189436,0.5076406598091125,0.2553253769874573
pendulum2_r,8.635113144938675,0.3845050632953644,0.5670673251152039
podium1_r,13.022964952181715,0.6495919823646545,0.2371336817741394
skates1_r,8.135844849105675,0.3287602365016937,0.4896913766860962
skates2_r,10.87805414793566,0.4110371768474579,0.3433692455291748
skiboots1_r,12.46897560075296,0.33711251616477966,0.3246864080429077
skiboots2_r,10.924952025437651,0.34272217750549316,0.3986464738845825
skiboots3_r,10.26882599810919,0.2788821756839752,0.41812923550605774
traproom1_r,11.581151507077541,0.48051023483276367,0.2625771462917328
traproom2_r,11.454172031877174,0.46008288860321045,0.2600305378437042
