image_name,PSNR,SSIM,LPIPS
artroom1_r,16.357387272974083,0.5139252543449402,0.26018017530441284
artroom2_r,16.1280320121298,0.5262754559516907,0.2324042171239853
bandsaw1_r,14.41379328038305,0.6238535642623901,0.16069595515727997
bandsaw2_r,15.72519468538598,0.6755430698394775,0.25810614228248596
chess1_r,16.84928992273212,0.541688084602356,0.23956504464149475
chess2_r,18.23248622972811,0.6277480721473694,0.13864009082317352
chess3_r,19.100450112020052,0.6362397074699402,0.15304726362228394
curule1_r,18.987386378103604,0.6188598275184631,0.14043888449668884
curule2_r,18.837565006199164,0.5997231006622314,0.16225191950798035
curule3_r,19.065813536523784,0.5949052572250366,0.14090675115585327
ladder1_r,14.589386973202105,0.36109820008277893,0.2585849165916443
ladder2_r,13.909080080702228,0.34754326939582825,0.279101699590683
octogons1_r,15.818014295846181,0.5396302342414856,0.2756713628768921
octogons2_r,15.619923198427522,0.5496665835380554,0.2753910422325134
pendulum1_r,17.990942844824588,0.6200540661811829,0.14374865591526031
pendulum2_r,18.710709742814473,0.7850980162620544,0.10832801461219788
podium1_r,17.66278460751941,0.7711622714996338,0.13487844169139862
skates1_r,15.439189551736659,0.5624200701713562,0.17069271206855774
skates2_r,12.780025424277841,0.4742491543292999,0.2414192110300064
skiboots1_r,18.35073815057302,0.57450932264328,0.12250325828790665
skiboots2_r,17.248575273504777,0.5989312529563904,0.1292291134595871
skiboots3_r,16.34139851575162,0.5079002380371094,0.1375504583120346
traproom1_r,14.688198577074516,0.5696644186973572,0.18335440754890442
traproom2_r,14.03058916368876,0.5247875452041626,0.20200574398040771
