image_name,PSNR,SSIM,LPIPS
artroom1_r,17.815794635108297,0.618262529373169,0.18569225072860718
artroom2_r,18.810787031018336,0.67781001329422,0.15995827317237854
bandsaw1_r,14.681638224359222,0.5742471218109131,0.19520199298858643
bandsaw2_r,18.387684640846203,0.749180257320404,0.21583376824855804
chess1_r,17.745999896642523,0.5626748204231262,0.21391497552394867
chess2_r,18.104855623668623,0.6130591034889221,0.16333800554275513
chess3_r,18.82779772417979,0.6128804683685303,0.1566116362810135
curule1_r,17.159870876990226,0.5392900705337524,0.184579998254776
curule2_r,18.57098333478843,0.5766506195068359,0.16311725974082947
curule3_r,17.99202729592364,0.5498296022415161,0.14990508556365967
ladder1_r,14.20728317404453,0.3941117227077484,0.2408599853515625
ladder2_r,14.227929100088419,0.4012734889984131,0.25175926089286804
octogons1_r,18.314036319040035,0.6618925333023071,0.14340509474277496
octogons2_r,18.132812388053342,0.7024304270744324,0.14488127827644348
pendulum1_r,16.6461667515076,0.6128920912742615,0.18279723823070526
pendulum2_r,18.177733501401832,0.7846494317054749,0.12011875212192535
podium1_r,17.804605442167528,0.772857666015625,0.1368573158979416
skates1_r,15.495465548810063,0.5482057332992554,0.1871306449174881
skates2_r,14.744777838936185,0.5358304381370544,0.1711006611585617
skiboots1_r,15.006530674927653,0.48701027035713196,0.21331171691417694
skiboots2_r,13.918632120158364,0.4764745235443115,0.24279358983039856
skiboots3_r,13.284572308418227,0.4158667027950287,0.25806745886802673
traproom1_r,14.532583245486704,0.5626384615898132,0.19269150495529175
traproom2_r,14.698094476710843,0.5616999268531799,0.181936115026474
