image_name,PSNR,SSIM,LPIPS
artroom1_r,17.765261818824985,0.613744854927063,0.15908803045749664
artroom2_r,18.61840548443783,0.6394765973091125,0.15461981296539307
bandsaw1_r,17.995319074726574,0.7326273918151855,0.1103602945804596
bandsaw2_r,20.70345680913355,0.8005128502845764,0.10440397262573242
chess1_r,18.251084198767206,0.5845046639442444,0.20492801070213318
chess2_r,18.841315451236127,0.6427288055419922,0.13735978305339813
chess3_r,21.189282736061,0.6948955655097961,0.11242326349020004
curule1_r,19.51440513462255,0.6135640740394592,0.11160839349031448
curule2_r,21.197521737518965,0.6668755412101746,0.1081898882985115
curule3_r,20.702733468738366,0.6763916611671448,0.1005251333117485
ladder1_r,16.477011954559867,0.48422279953956604,0.17172493040561676
ladder2_r,16.35726235514102,0.49646708369255066,0.17674142122268677
octogons1_r,18.633775636650526,0.6618261933326721,0.1379868984222412
octogons2_r,18.909322515674138,0.7446739673614502,0.10905902087688446
pendulum1_r,17.959889861855324,0.6743029952049255,0.12304332852363586
pendulum2_r,18.45177018141966,0.7973344922065735,0.10454735159873962
podium1_r,18.667775858337166,0.7979030013084412,0.11275400966405869
skates1_r,15.970597358598052,0.6458921432495117,0.17130710184574127
skates2_r,14.999371524985568,0.6048349142074585,0.1536383330821991
skiboots1_r,15.985675126142295,0.5167482495307922,0.18269941210746765
skiboots2_r,15.240375518186472,0.5247177481651306,0.19092325866222382
skiboots3_r,14.396457751714555,0.45591244101524353,0.2034541815519333
traproom1_r,15.768103564998896,0.6163511872291565,0.15188872814178467
traproom2_r,14.725570389415214,0.5582672357559204,0.17562146484851837
