image_name,PSNR,SSIM,LPIPS
artroom1_r,15.566089012631734,0.5374755263328552,0.2269340604543686
artroom2_r,15.828624341203117,0.562105655670166,0.27692192792892456
bandsaw1_r,16.135411880061888,0.6795032620429993,0.1470927745103836
bandsaw2_r,14.055751985457016,0.6452999711036682,0.2858595550060272
cartest512_r,16.291713194200486,0.34369421005249023,0.25833797454833984
chess1_r,13.0671784954788,0.41267523169517517,0.3468477129936218
chess2_r,15.542608566327583,0.5162593722343445,0.276503324508667
chess3_r,14.122839558759273,0.4500803053379059,0.2703230082988739
curule1_r,15.47971602613883,0.49883130192756653,0.24381756782531738
curule2_r,15.267204514303234,0.4780452251434326,0.28754422068595886
curule3_r,16.84253266543896,0.5081933736801147,0.1859740912914276
ladder1_r,15.103778804291895,0.3913392722606659,0.20600862801074982
ladder2_r,14.653799473417363,0.3817965090274811,0.20185239613056183
octogons1_r,13.582158454556767,0.5099138617515564,0.24922609329223633
octogons2_r,16.302585955372468,0.601520836353302,0.17186450958251953
pendulum1_r,13.729755599498068,0.5244967937469482,0.21380780637264252
pendulum2_r,8.637393727818804,0.38295280933380127,0.5697951316833496
podium1_r,13.178754979304276,0.6512454152107239,0.22970858216285706
skates1_r,8.34301375374865,0.33148807287216187,0.47223636507987976
skates2_r,11.176456109921897,0.4162580072879791,0.31338778138160706
skiboots1_r,12.730994883024271,0.34681570529937744,0.304415225982666
skiboots2_r,11.040774485009814,0.34581419825553894,0.3845469057559967
skiboots3_r,10.362078070526653,0.2849934995174408,0.41057145595550537
traproom1_r,12.494946186197122,0.46814775466918945,0.22702117264270782
traproom2_r,12.254302308955054,0.4435616433620453,0.2398109883069992
