image_name,PSNR,SSIM,LPIPS
artroom1_c,16.355165933602464,0.6153218746185303,0.2157139927148819
artroom2_c,16.573926651503,0.6460937857627869,0.22026607394218445
bandsaw1_c,15.336183648638052,0.7035476565361023,0.142905130982399
bandsaw2_c,15.33012458065225,0.7754483819007874,0.17204785346984863
chess1_c,14.975821466915713,0.6001870036125183,0.23857493698596954
chess2_c,17.31358394366156,0.6998519897460938,0.1801564246416092
chess3_c,16.319257907749318,0.65315181016922,0.17779755592346191
curule1_c,17.68310753289907,0.6529683470726013,0.16154679656028748
curule2_c,17.426426332776682,0.6439537405967712,0.18976211547851562
curule3_c,18.629550520326273,0.6676568984985352,0.1510315090417862
ladder1_c,17.220432603227152,0.604864776134491,0.14144892990589142
ladder2_c,16.43071432682573,0.5969997048377991,0.15220430493354797
octogons1_c,16.544449381200536,0.666490912437439,0.12154564261436462
octogons2_c,18.508011360078243,0.7208266854286194,0.11836358904838562
pendulum1_c,16.112681052164504,0.6789788603782654,0.16506798565387726
pendulum2_c,19.31927165959126,0.7130102515220642,0.13742367923259735
podium1_c,15.164765338552668,0.7874908447265625,0.15991303324699402
skates1_c,11.304671198246856,0.5929359197616577,0.2757359445095062
skates2_c,14.352990862765054,0.645135760307312,0.1719236820936203
skiboots1_c,15.326145973013707,0.5861713290214539,0.1984385997056961
skiboots2_c,13.82458936158777,0.5782500505447388,0.21737131476402283
skiboots3_c,13.12900294106769,0.5502257943153381,0.23754647374153137
traproom1_c,14.483743490172492,0.6820017695426941,0.14442668855190277
traproom2_c,14.83182578412488,0.6632555723190308,0.13824786245822906
