image_name,PSNR,SSIM,LPIPS
artroom1_c,18.131080361277906,0.6942505240440369,0.14582419395446777
artroom2_c,18.300036162672093,0.7132828831672668,0.1689220666885376
bandsaw1_c,17.66814251939615,0.7591573596000671,0.11027627438306808
bandsaw2_c,16.732118026552023,0.7756053805351257,0.20571260154247284
chess1_c,15.686132829145137,0.6095535755157471,0.23452144861221313
chess2_c,18.439528299352347,0.7107297778129578,0.15596523880958557
chess3_c,16.82063790772201,0.6669273376464844,0.16269508004188538
curule1_c,17.860593907758386,0.6667521595954895,0.1631995439529419
curule2_c,17.7502366991895,0.6633181571960449,0.1762038916349411
curule3_c,18.68232512520734,0.6701285243034363,0.12989096343517303
ladder1_c,18.154698772997342,0.6337042450904846,0.12671791017055511
ladder2_c,17.586888144646636,0.6271949410438538,0.12220975756645203
octogons1_c,16.705428796887386,0.6751346588134766,0.1270233690738678
octogons2_c,19.279692982875545,0.7421367168426514,0.09165670722723007
pendulum1_c,16.23889633001271,0.7041810154914856,0.1424901783466339
